X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-2253675.06292856,-50710.0735145325,"5","20","0","0","20",752261.32704345718957,133.84631350151909
-2208932.36653824,-95452.7699048551,"5","21","0","0","21",815537.05509579321370,136.92674022680100
-2164189.67014792,-146658.300218224,"5","22","0","0","22",883536.43167344981339,155.16776876164860
-2160212.54157989,-173213,"5","23","0","0","23",910387.30935271526687,220.74102853484749
-2152169.42743172,73891.4038750991,"6","0","0","0","0",0.00000000000000,340.96889044737208
-2156158.14232773,101313.81878514,"6","1","0","0","1",27710.98493413879987,299.26275832963825
-2191059.39766778,86356.1379251178,"6","2","0","0","2",65682.41947409015847,292.31053259216725
-2217484.63385382,151172.754985215,"6","3","0","0","3",135678.75476818444440,21.05485095858575
-2177098.89553176,170617.740103244,"6","4","0","0","4",180501.91068182271556,47.32737110545450
-2172113.00191175,179128.0,"6","5","0","0","5",190365.15855969549739,60.18234799586014
-2126770,179128,"6","6","0","0","6",235708.16047144509503,135.00000000000000
-2126770,29516.9506570325,"6","7","0","0","7",385319.20981441251934,255.10683686090977
-2152169.42743172,73891.4038750991,"6","8","0","0","8",436448.68284378753742,340.96889044737208
-2181087.61042776,85857.5485631171,"7","0","0","0","0",0.00000000000000,113.18301047744401
-2166628.51892974,73392.8145130984,"7","1","0","0","1",19090.17867611162364,154.65362328330050
-2165132.75084374,14559.2697970101,"7","2","0","0","2",77942.73432178483927,157.83236888116107
-2139206.1040197,-13361.7344750318,"7","3","0","0","3",116044.87986633143737,166.42655059088449
-2149177.89125972,-48761.5791770849,"7","4","0","0","4",152822.39399778959341,209.59192354306427
-2158152.49977573,-58234.7770550991,"7","5","0","0","5",165871.72639648764743,172.33512253268418
-2141699.0508297,-68206.5642951141,"7","6","0","0","6",185111.07469572979608,149.01928632224096
-2140203.2827437,-95130.3898431545,"7","7","0","0","7",212076.41734714846825,196.44809071825193
-2165631.34020574,-130031.645183207,"7","8","0","0","8",255258.40121315748547,239.74703345059541
-2178594.66361776,-131527.413269209,"7","9","0","0","9",268307.73361185553949,292.05870459322716
-2208763.53093274,-94669.1081668526,"7","10","0","0","10",315938.55567160091596,317.36650532239179
-2270125.13314595,-35343.1989180545,"7","11","0","0","11",401289.65252670756308,307.97088186940215
-2300951.34089288,-16149.5223963845,"7","12","0","0","12",437602.90496263030218,303.49767774446480
-2336139.74784927,8569.60645728132,"7","13","0","0","13",480605.92015241651097,332.76064959270786
-2335848.93456864,46956.9595006212,"7","14","0","0","14",518994.37474540853873,16.85446930848600
-2322607.14408802,67134.9259472888,"7","15","0","0","15",543129.31508209870663,35.96734811946128
-2277206.71958302,123885.456578541,"7","16","0","0","16",615805.45471652771812,53.27192855923518
-2259680.55401127,131007.778868222,"7","17","0","0","17",634723.54009656154085,57.68680089319006
-2246604.17524147,142994.459407212,"7","18","0","0","18",652462.54209992208052,71.03173709095030
-2232982.94735625,141904.761176394,"7","19","0","0","19",666127.28839596407488,113.96867210914188
-2213368.37920154,123379.891252502,"7","20","0","0","20",693106.94906085915864,141.54283846204135
-2191476.57854336,85883.1383311489,"7","21","0","0","21",736526.50013756472617,111.66635681583264
-2188943.5044598,86628.1601204299,"7","22","0","0","22",739166.86408582713921,84.60643770995640
-2181087.61042776,85857.5485631171,"7","23","0","0","23",747060.46359523443971,113.18301047744401
